comment	class	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num
image	GIF	5	3	18	3	2	3	1	1	0	1	0	1	1	1	1	1	0	1	1	0	1	1
image	PNG	5	4	21	1	3	3	1	1	0	1	0	1	0	1	1	1	0	0	0	0	1	1
audio	MP3	5	3	14	3	1	2	1	1	0	1	0	1	0	1	1	1	0	1	1	0	1	1
document	PDF	5	6	28	2	17	3	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1
image	JPG	5	4	17	1	9	2	1	1	0	1	0	1	0	1	0	1	0	1	1	0	1	1
document	DOC	5	5	164	1	15	3	1	1	0	1	1	1	0	0	1	1	0	1	1	0	1	1
web	HTML	5	4	39	1	7	2	1	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1
image	TIF	5	3	135	1	9	3	1	1	1	1	0	1	0	0	1	1	0	0	0	1	1	1
image	BMP	5	2	18	1	7	2	1	1	0	1	0	0	1	0	0	1	0	1	1	0	1	1
presentation	PPT	5	5	15	1	7	2	1	1	0	1	1	0	0	0	0	1	0	0	0	0	1	1
document	MAC	2	2	122	1	1	2	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1
document	SXW	3	3	1	1	1	2	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	1
document	DXF	5	4	21	1	23	2	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	1
