comment	class	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num
u	1	2	2	1	1	2	2	2	2	3	2	2	3	1	1	1	1	2	2	1	1	3	1	3	2	1	2	3	3
u	2	1	1	2	2	2	1	2	3	3	3	1	3	2	2	2	2	3	3	3	1	3	2	3	2	1	3	1	3
u	3	2	3	3	1	2	1	2	3	2	2	1	2	3	2	2	3	2	3	2	1	3	2	3	3	1	3	2	3
u	4	3	1	2	1	3	2	3	2	3	3	2	3	2	3	3	3	3	3	2	2	3	2	3	3	1	2	2	2
u	5	3	1	2	1	2	1	3	3	1	2	2	2	1	3	3	3	2	1	1	2	3	2	3	1	1	1	2	2
u	6	1	1	2	2	1	2	1	3	2	2	1	1	1	3	2	2	3	3	1	1	3	2	3	2	2	3	1	3
u	7	1	2	2	2	1	2	3	2	3	2	1	2	1	2	2	1	3	2	1	1	3	2	3	2	1	2	1	2
u	8	1	1	1	1	1	1	2	3	3	3	2	3	2	2	2	3	3	2	2	3	3	2	3	3	2	2	1	3
u	9	3	2	2	1	1	3	3	2	3	3	1	2	2	3	3	1	3	2	2	2	3	2	3	2	2	3	2	2
u	10	2	1	2	1	1	2	2	3	3	3	3	2	3	2	3	1	3	3	3	2	2	3	3	3	1	3	3	3
