comment	class	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num
u	a	2	2	1	1	2	2	2	2	3	2	2	3	1	1	1	1	2	2	1	1	3	1	3	2	1	2	3	3
u	b	1	1	2	2	2	1	2	3	3	3	1	3	2	2	2	2	3	3	3	1	3	2	3	2	1	3	1	3
u	c	2	3	3	1	2	1	2	3	2	2	1	2	3	2	2	3	2	3	2	1	3	2	3	3	1	3	2	3
u	d	3	1	2	1	3	2	3	2	3	3	2	3	2	3	3	3	3	3	2	2	3	2	3	3	1	2	2	2
u	e	3	1	2	1	2	1	3	3	1	2	2	2	1	3	3	3	2	1	1	2	3	2	3	1	1	1	2	2
u	f	1	1	2	2	1	2	1	3	2	2	1	1	1	3	2	2	3	3	1	1	3	2	3	2	2	3	1	3
u	g	1	2	2	2	1	2	3	2	3	2	1	2	1	2	2	1	3	2	1	1	3	2	3	2	1	2	1	2
u	k	1	1	1	1	1	1	2	3	3	3	2	3	2	2	2	3	3	2	2	3	3	2	3	3	2	2	1	3
u	l	3	2	2	1	1	3	3	2	3	3	1	2	2	3	3	1	3	2	2	2	3	2	3	2	2	3	2	2
u	m	2	1	2	1	1	2	2	3	3	3	3	2	3	2	3	1	3	3	3	2	2	3	3	3	1	3	3	3
u	nn	3	2	3	1	1	3	3	2	3	3	1	2	2	2	3	1	3	2	2	2	3	2	3	2	2	3	3	1
