comment	class	num	num	num	num	num	num	num	num	num	num	num
middle	value	2	1	2	3	3	1	1	1	3	2	3
low	geogrSpread	2	1	3	1	1	1	2	1	2	1	2
low	domainSpecificity	1	2	3	2	2	2	2	1	2	2	3
low	viruses	1	2	1	1	1	2	2	1	1	1	1
low	availabilityOnline	2	2	2	3	2	1	1	1	1	1	1
low	institutionalPolicies	2	1	1	2	1	2	2	1	3	2	3
middle	specificationQuality	2	2	2	3	3	1	3	2	3	2	3
high	bfCompatibility	2	3	3	2	3	3	2	3	2	3	2
high	community3dSupport	3	3	2	3	1	2	3	3	3	3	3
high	complexity	2	3	2	3	2	2	2	3	3	3	3
low	compression	2	1	1	2	2	1	1	2	1	3	1
middle	cost	3	3	2	3	2	1	2	3	2	2	2
low	developerSupport	1	2	3	2	1	1	1	2	2	3	2
middle	easeOfIdentification	1	2	2	3	3	3	2	2	3	2	2
middle	easeOfValidation	1	2	2	3	3	2	2	2	3	3	3
middle	errorTolerance	1	2	3	3	3	2	1	3	1	1	1
high	expertiseAvailable	2	3	2	3	2	3	3	3	3	3	3
high	legalRestrictions	2	3	3	3	1	3	2	2	2	3	2
low	lifeTime	1	3	2	2	1	1	1	2	2	3	2
low	metadataSupport	1	1	1	2	2	1	1	3	2	2	2
high	renderingSoftwareAvailable	3	3	3	3	3	3	3	3	3	2	3
low	revisionRate	1	2	2	2	2	2	2	2	2	3	2
high	specificationAvailable	3	3	3	3	3	3	3	3	3	3	3
middle	standardization	2	2	3	3	1	2	2	3	2	3	2
low	storageSpace	1	1	1	1	1	2	1	2	2	1	2
middle	technicalDependencies	2	3	3	2	1	3	2	2	3	3	3
low	technicalProtectionMechanism	3	1	2	2	2	1	1	1	2	3	3
high	ubiquity	3	3	3	2	2	3	2	3	2	3	1
